Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
CampusLogic,campuslogic.com,"CampusLogic is a cloud-based college search-to-graduation student engagement platform which enables students and families to understand the costs of college early in the enrollment process, complete financial aid forms, and access digital award letters - all from their mobile phone.","CampusLogic, Inc. develops a cloud-based student financial success platform used by college officials to help students manage scholarships, loans, and other financial supports. The company offers StudentForms, a solution that automates the student communication through text and email; AwardLetter that fosters student decisions about college costs; and ScholarshipUniverse, a solution that eliminates the administrative burden and helps students for their further education by reducing educational loans. It also provides ClearCost that connects students to degree costs and financial aid eligibility at a personal level across the years and CampusMetrics, a solution that synchronizes the systems and reduces the manual entry with easy campus-wide system integration. The company serves public, private, and community college. CampusLogic, Inc. was incorporated in 2009 and is based in Chandler, Arizona.","CampusLogic develops tools and resources used by college officials to help students manage scholarships, loans, and other supports."
Civitas Learning,civitaslearning.com,Civitas Learning is a student success intelligence platform leveraging each institution's unique data to find and distribute the clearest path to improved higher education outcomes.,"Civitas Learning, Inc. provides a predictive analytics platform that helps institutions to build a strategic analytics infrastructure that unlocks disparate data sources and powers apps by bringing real-time insights to administrators, faculty, advisors, and students. It offers student insights platform, that generates a holistic student and institutional outlook by enabling secure aggregation of disparate data sources across the student journey, through deep data analysis and predictive flow modeling. The company also offers illume, an application that provides a view of a given institutionÂ’s historical and predictive student flow; and Inspire for Faculty, aggregates data from the companyÂ’s platform to uncover specific insights for specific users, and visualizes these data on studentsÂ’ measurable engagement patterns in real-time for analysis. It also provides Hoot.me that provides a crowd-sourced educational question and answer platform on Facebook where students can ask questions of each other and instructors beyond the classroom lecture; and College Scheduler, a student-centric design and cloud computing solution that simplifies critical points on the journey towards degree completion. The company serves students in the United States, the United Kingdom, Ireland, and Mexico. Civitas Learning, Inc. was founded in 2011 and is based in Austin, Texas.",Civitas Learning is the student success platform for higher education.
ClassDojo,classdojo.com,"ClassDojo is a classroom tool that helps teachers improve behavior in classrooms quickly and easily. It also captures and generates data on behavior that teachers can share with parents and administrators. ClassDojo aims improves behavior in class with just one click of a smartphone, laptop, or tablet. It also automatically logs data and creates student behavior reports.","ClassDojo, Inc. develops and operates an online school communication platform that connects teachers, students, and families to build communities by sharing whatÂ’s being learned in the classroom home through photos, videos, and messages. It offers a classroom communication application in 35 languages globally for digital devices. ClassDojo, Inc. was formerly known as Class Twist, Inc. and changed its name to ClassDojo, Inc. in December 2017. ClassDojo, Inc. was incorporated in 2011 and is based in San Francisco, California.","ClassDojo is a school communication platform that teachers, students, and families use to build close-knit communities."
CollegeVine,collegevine.com,"CollegeVine is an education technology company that combines a digital platform with trained mentors to provide high schoolers with online guidance platform that provides mentorship, academic tutoring, and college admissions guidance.","CollegeVine provides mentorship, college applications guidance, college essay assistance, tutoring, and test preparation consulting services. The company was formerly known as Admissions Hero LLC and changed its name to CollegeVine in August 2016. CollegeVine was founded in 2013 and is based in Cambridge, Massachusetts.",CollegeVine brings data-driven college guidance to families.
Course Hero,coursehero.com,Course Hero offers an online learning platform with course-specific study resources contributed by a community of students and educators.,"Course Hero, Inc. operates an online learning platform that provides study documents for students and educators at schools. Its platform offers practice problems, study guides, videos, class notes, and step-by-step explanations to help with every college class for subjects, such as mathematics, literature, biology, history, accounting, and psychology. The company also provides an educator platform that allows educators to distribute materials, publish content, and follow other educators. Course Hero, Inc. was formerly known as TheCollegeFreeway, Inc. and changed its name to Course Hero, Inc. in September 2008. The company was incorporated in 2006 and is based in Redwood City, California.","Course Hero is an online learning platform with study resources that help students feel confident and prepared, from day one to graduation."
Coursera,coursera.org,"Coursera (NYSE: COUR) offers classes from universities and professors online for free. Coursera's education platform combines mastery-based learning principles with video lectures, interactive content and a global community of peers, offering students from around the world a unique online learning experience. Coursera partners with universities to provide courses across a broad range of disciplines, including medicine, literature, history and computer science, among others.","Coursera, Inc. operates an online educational content platform that connects learners, educators, and institutions. It offers online courses that include data science, business, computer science, information technology, health, social sciences, logic, project management, and digital marketing services; campus student plans; degree courses; and certification education. Coursera, Inc. was formerly known as Dkandu, Inc. and changed its name to Coursera, Inc. in April 2012. The company was incorporated in 2011 and is based in Mountain View, California.",Coursera is an online education company that partners with universities and organizations to offer classes on their platform.
creativeLIVE,creativelive.com,"creativeLIVE is a live online creative classroom offering free education in photography, filmmaking, web design and more. Featuring workshops in photography, video, design, business, audio, music, and software training, creativeLIVE unlocks previously closed doors by making dynamic education accessible to everyone.","CreativeLIVE, Inc. provides an online platform that enables users to view and purchase online courses related to photography, video, design, business, audio, music, crafting, and software training. The company was founded in 2010 and is based in Seattle, Washington.","CreativeLive is the worldâ€™s leading live, online classroom for creative entrepreneurs."
Declara,declara.com,"Declara is focused on bringing data to life. The company, founded in 2012, builds a technology platform that uses machine learning, search, algorithms and recommendations to develop specific learning paths for individuals, making learning a constant discovery. Instead of giving every person the identical learning path, the Declara platform surfaces the right content in the right context. Based on an individual's interactions with informational data - blogs, web sites and documents - and social data - tweets, posts, colleagues, experts - the Declara platform creates a CognitiveGraph giving every individual their own personalized learning path. This platform is already being used to drive learning across a diverse group of organizations to accelerate innovation; increase efficiency and drive large-scale transformations.","Declara, Inc. provides an intelligent social learning platform that connects people to content. Its platform features include social collaboration, intuitive search, content creation, intelligent chat, live mentoring, assessment, and progress tracking. The company provides analytics on how people learn, what content they use/generate, and which peers and mentors help them for customers to own and improve their learning, as well as content providers to refine their products and organizational leaders. It serves governments, companies, educational institutions, and research organizations. The company was founded in 2012 and is based in Palo Alto, California. As of April 11, 2019, Declara, Inc. operates as a subsidiary of Futuryng Inc.","Declara makes is easy to discover, collect, and share knowledge with a community of like-minded people."
Degreed,degreed.com,Degreed provides a free service that scores and validates lifelong education from both accredited and non-accredited sources. Degreed offers a way to have education validated and enables users to unlock relevant employment and educational opportunities.,"Degreed, Inc. provides a learning platform to track, discover, and recognize learning. It offers Degreed, a learning platform for organizations to build the skills for teams; and Degreed Career Mobility, a solution that enables HR leaders and people managers to adapt to market changes and evolving needs by matching people with in-demand skills to projects, assignments, and roles. The companyÂ’s Degreed also enables teams to connect to the resources they use to learn courses, videos, articles, books, podcasts, and experts from various sources. Degreed, Inc. was incorporated in 2012 and is based in Pleasanton, California. It has additional offices in Salt Lake City, Utah; New York, New York; Leiden, the Netherlands; London, United Kingdom; and Brisbane, Australia.","Degreed is an upskilling platform where individuals and organizations can discover content, build skills, and certify expertise."
DreamBox Learning,dreambox.com,"DreamBox Learning has developed an Intelligent Adaptive Learning Platform that captures mouse clicks to personalize math learning and adapts it to any student. DreamBox Learning Math offers a combination of intelligent adaptive learning, rigorous elementary mathematics curriculum, and motivating learning environment. The DreamBox platform captures every decision a student makes while working in the program and adjusts the student's learning path appropriately, providing millions of individualized learning paths, each one tailored to a student's unique needs.","DreamBox Learning, Inc. develops and delivers online elementary and middle school math software that aligns to the United States and Canadian standards. The company offers DreamBox Learning, a K-8 math curriculum that allows teachers to make assignments in the program that align with their classroom curriculum; and AssignFocus, a tool that allows teachers to use real-time proficiency data about each student to create focused assignments by assigning a particular standard or concept to a group of students or the entire class. It also offers MyFlexPD, a solution for teacher professional learning that provides educators with a dashboard overview of where students are in their learning progression, along with corresponding professional development options that allows them to guide student success. The company serves administrators, math leaders, teachers, and parents. DreamBox Learning, Inc. was founded in 2006 and is based in Bellevue, Washington with a regional office in Raleigh, North Carolina.",DreamBox Learning offers elementary mathematics education through its intelligent adaptive learning platform.
Duolingo,duolingo.com,"Duolingo allows users to learn or practice a language while translating content from the Web. Users are presented with different types of educational activities; while performing these activities, also generating valuable data such as translations of Web content.","Duolingo, Inc. develops a language-learning website and mobile app in the United States and China. The company offers courses in 40 different languages, including Spanish, English, French, German, Italian, Portuguese, Japanese, and Chinese. It also provides a digital language proficiency assessment exam. The company was founded in 2011 and is headquartered in Pittsburgh, Pennsylvania.",Duolingo is a language-learning education platform that offers 98 total courses across nearly 40 distinct languages.
Echo360,echo360.com,"Echo360 provides a platform to capture, host, and deliver classroom lecture and supplemental materials to higher-education institutions.","Echo360, Inc. develops and provides a Software-as-a-Service learning and analytics solution for higher education in the United States and internationally. The companyÂ’s platform allows users to capture, share, and assign their flipped classroom recording, as well as enables users to add polls, quizzes, and other activities to the presentations. Its platform also allows users to record instructional videos for students; and connects students and instructors around the world, as well as provides learning analytics and indicators that enable the instructor to know the students participating and identify struggling students before the exam time. In addition, the companyÂ’s platform provides a learning library that stores videos, presentations, and documents. Further, it provides universal capture software for faculty, students, and administrators with Mac or Windows devices to record the screen of their personal device, as well as capture scheduled and on-demand lecture in the classroom; an automatic speech recognition solution that enable colleges and universities to offer video-based learning experiences; and video content management system and various support services. The company was founded in 2007 and is based in Reston, Virginia. Echo360, Inc. was formerly a subsidiary of blinkx, Inc.","Echo360 combines all of the video capabilities into a single, smart solution that is so easy to manage."
EdCast,edcast.com,"EdCast is a knowledge network that aims to inspire, empower and educate individuals and organizations to get smarter with daily curated bite-size insights (SmartBites) with live access to influencers and Subject Matter coaches. EdCast Knowledge Networks powers social, mobile and cloud-based informal learning for institutions, enterprises, governments and nonprofits.","EdCast Inc. operates an artificial intelligence powered knowledge cloud platform for personalized learning. It offers EdCast LXP, a solution that motivates and energizes the workforce by fostering a culture of learning; and EdCast Marketplace, a solution that helps enterprises to accelerate employee development at scale with flexible and practical solutions. The company also provides MyGuide, a solution that helps users to automate repetitive work, show how to perform a task, try out new tasks, help them with intelligent guides, and get detailed analytics. In addition, its solutions include onboarding, workflow training and automation, knowledge sharing and transfer, streamlined learning procurement, upskilling and reskilling, enabling partners and customers, and off boarding. The company serves associations, banking and financial services, energy, health care, hospitality, manufacturing, retail, and technology industries. EdCast Inc. was formerly known as CourseMaster, Inc. The company was incorporated in 2013 and is based in Mountain View, California with additional offices worldwide.","EdCast is an AI-powered knowledge cloud for unified discovery, knowledge management, and personalized learning."
EdisonLearning,edisonlearning.com,"EdisonLearning is an international educational solutions provider that pioneered the concept of charter schools in the U.S. EdisonLearning helps schools achieve lasting gains in performance, using an extensive portfolio of proven K-12 solutions, including Dropout Prevention and Recovery Centers, School Turnaround services focused on improving underperforming schools, brick and mortar schools, and virtual schools and programs. Online education services, including eCourses, are integrated into many of our offerings.","EdisonLearning, Inc. provides international educational services. The company offers solutions in the areas of digital learning and alternative education. EdisonLearning, Inc. was formerly known as Edison Schools, Inc. and changed its name to EdisonLearning, Inc. in September 2008. The company was founded in 1992 and is based in Fort Lauderdale, Florida.",EdisonLearning provide education & learning to less opportunistic children.
Edmodo,edmodo.com,"Edmodo is a free service that allows teachers to create and maintain safe and secure classroom communities across every type of PC and wireless device. Edmodo is used to share educational content, manage projects and assignments, handle notifications, conduct quizzes and events, and facilitate highly engaging learning experiences among students in classes and colleagues in professional learning networks. Schools and districts can claim unique Edmodo web addresses for added communication and customization. The company was formerly known as FusionProject.","Edmodo, Inc. operates an online platform that enables educators to connect and collaborate with students, parents, and each other. The company was founded in 2008 and is based in San Mateo, California. As of May 3, 2018, Edmodo, Inc. operates as a subsidiary of Best Assistant Education Online Limited.",Edmodo is a global education network that connects all learners with the people and resources they need to reach their full potential.
eLearning Brothers,elearningbrothers.com,eLearning Brothers provides an interactive library of learning assets for rapid eLearning development.,"eLearning Brothers, LLC designs and develops templates and stock assets that enable users to create courses. It offers e-learning tools, such as Adobe Captivate, Adobe Presenter, Articulate Presenter, Storyline, Lectora, Snap!, Unison, iSpring Presenter, Moodle, Brainshark, PowerPoint, and others; games and activities in formats such as HTML 5, Flash, and PowerPoint; cutout people images and videos; page layout templates for Adobe Captivate, Adobe Presenter, Articulate Presenter, Storyline, Lectora, iSpring, and others; player skins for Articulate Presenter, Lectora, and Flash; and stock images and graphics for building e-Learning simulations, presentations, and other engaging interactions. The company also provides Webinar series; e-learning software training; e-learning resources, such as graphic design tips, instructional design tips, and eLearning stuff; an interaction builder, an online software that lets users choose from a library of interactions and games; and adobe connect game for virtual training. eLearning Brothers, LLC was founded in 2009 and is based in American Fork, Utah with additional offices in Florida, New York, Ohio, and London, United Kingdom.",eLearning Brothers provides a complete suite of integrated learning development and delivery tools and resources like templates and assets.
Engageli,engageli.com,Engageli offers a video conferencing tool designed as a digital learning platform aimed at higher education.,"Engageli, Inc. provides an inclusive digital learning platform for higher education institutions. The company was founded in 2020 and is headquartered in San Mateo, California.",Engageli is an inclusive digital learning platform.
Everspring,everspringpartners.com,"Everspring provides full-service, customized online educational solutions. The company partners with leading universities looking for online solutions to enable their vision and further their mission.","Everspring Inc. provides an education platform and services to develop online courses. It provides online learning programs and data-driven insights to universities. The companyÂ’s services include academic operations, analytics, enrollment management, faculty engagement, learning design, marketing, student support, and technology. It serves students, faculty transition, and universities. The company was incorporated in 2011 and is based in Chicago, Illinois.",Everspring develops online and hybrid courses that deliver engagement free from traditional constraints.
Examity,examity.com,"Examity provides a test integrity solution including live, recorded and automated solutions ensure integrity of online education and certification programs from higher education institutions and other organizations. The proprietary keystroke identification technology, Examikey, provides an enhanced level of assurance for schools to determine the authenticity of test-takers.","Examity, LLC provides live online proctoring for academic institutions and universities by using a webcam to monitor students taking exams online to prevent cheating. Its solution offers 24/7 remote test proctoring service that enables test-takers to complete their tests from the comfort of their own homes at any time they want. The companyÂ’s proctors monitor test-takers through the use of a Webcam and microphone. It also offers examiGO, a mobile authentication platform to streamline the authentication process for students and faculty. Its online proctoring solution enables students, professors, and other test providers to preserve exam integrity. Examity, LLC was formerly known as Secure Proctor, LLC and changed its name to Examity, LLC in September 2013. The company was incorporated in 2012 and is based in Needham, Massachusetts. It also has an office in Newton, Massachusetts.",Examity is an online exam proctoring company.
ExecOnline,execonline.com,"ExecOnline provides executives at companies with access to superb training opportunities. ExecOnline allows companies to combine the quality and engagement of in-person development with the scale, integration and measurability of online development to fully and broadly develop their next generation of leaders. The company's Executive Engagement Platform (EEP) combines enterprise reporting and assessment capabilities with an engaging and interactive user experience for individual executive learners.","ExecOnline, Inc. offers online leadership development programs for enterprises. Its Executive Engagement platform combines enterprise reporting and assessment solutions with an engaging and interactive experience user for individual executive learners. The company also provides online business education programs to business schools and corporate sectors. ExecOnline, Inc. was incorporated in 2012 and is based in New York, New York.",ExecOnline provides companies with executive training solutions.
Grammarly,grammarly.com,"Grammarly improves communication among the world's 2+ billion English writers. Its flagship product, the Grammarly Editor, corrects contextual spelling mistakes, checks for more than 250 common grammar errors, and enhances vocabulary usage. More than 3 million registered users worldwide trust Grammarly's products, which are also licensed by more than 100 leading universities and corporations.","Grammarly, Inc. designs and develops an online digital writing assistant platform for users to find and correct writing mistakes. Its platform provides various solutions, such as a tone detector, correct written grammar, eliminate spelling mistakes, and suggest better ways to write things. It offers Grammarly for online text editing, browser extension, Microsoft office, mobile keyboards, and desktop applications. The company was founded in 2009 and is based in San Francisco, California.",Grammarlyâ€™s digital writing assistant helps people write more clearly and effectively.
Grovo Learning,grovo.com,"Grovo provides an online platform on which users can create microlearning videos to teach others skills. Users can also use Grovo's library of bite-sized lessons to learn soft skills, management skills, and more.","Grovo Learning Inc. operates a platform that provides microlearning solutions to workplace for companies. Its microlearning approach include bite-sized video lessons, exercises, and practice that range from digital skills to leadership training solutions. The company was founded in 2010 and is headquartered in New York, New York with additional offices in New York and San Francisco. As of November 9, 2018, Grovo Learning Inc. operates as a subsidiary of Cornerstone OnDemand, Inc.",The world's leading Microlearning solution
Honorlock,honorlock.com,"Honorlock helps colleges and universities expand their online programs by offering a remote proctoring service for students. Honorlock records the exam session while allowing students to test at their convenience whenever and wherever. Afterward, its certified in-house proctoring staff will review all footage to ensure test integrity.","Honorlock Inc. owns and operate an online proctoring platform that helps instructors to monitor, record, and review test sessions. It serves students, faculty, and institutions. Honorlock Inc. was incorporated in 2014 and is headquartered in Boca Raton, Florida.",Honorlock provides remote proctoring services for colleges and universities.
HotChalk,hotchalk.com,"HotChalk is a learning environment for K-12 teachers, students and parents that includes a learning management system (LMS), a library of teacher-contributed lesson plans, premium digital content, and professional development for teachers in a Web-based environment. Available through any Internet browser, the HotChalk Learning Environment is an easy to use system and brings teachers, students and parents together to improve education.On November 20, 2020 HotChalk was acquired by Noodle. The terms of the transaction were not disclosed.","HotChalk, Inc. provides solutions to educational institutions to put their degree programs online. It works with educational institutions to deliver free online education content; and operates an online education community called the HotChalk Education Network. The company serves online audience of educators, parents, and students. HotChalk, Inc. was founded in 2004 and is based in Campbell, California.",HotChalk helps great universities be great online.
Illuminate Education,illuminateed.com,"Illuminate Education serves the K-12 educational market with web-based products and services for all data needs. Illuminate's technology solutions are designed to maximize efficiency, feature user-friendly interfaces, and support practical and progressive needs at the county, district, site, classroom, parent, and student levels. At the heart of Illuminate is an educator perspective that focuses on what busy educators (and the students they serve) need most.","Illuminate Education Ltd provides non-instructional activities that support educational processes and systems. Illuminate Education Ltd was incorporated in 2016 and is based in Canterbury, United Kingdom.",Illuminate Education provides innovative tools that educators can use to promote student and educator success.
InnoCentive,innocentive.com,"InnoCentive connects companies, academic institutions, public sector and non-profit organizations in the crowdsourcing platform Open Innovation Marketplace.On July 10th, 2020, InnoCentive was acquired by Wazoku. The terms of the transaction were not disclosed.","InnoCentive, Inc. offers a cloud based innovation management platform to help companies, corporations, public sector agencies, governments, and nonprofits to find solutions to their pressing problems. The company offers, InnoCentive@Work, a collaborative SaaS-based innovation management software solution that enables users to engage diverse innovation communities, such as employees, partners, and customers to help them to generate novel ideas and solve their pressing problems. It also provides externally crowd sourced challenge programs and innovation competitions to solve problems and breakthrough innovations; InnoCentive Idea Management, a SaaS-based idea generation software platform for innovation idea creation, idea sharing, and knowledge sharing from employees and invited audiences in a well-structured environment. The company serves customers in the United States and internationally. InnoCentive, Inc. has strategic partnerships with Nature Publishing Group, and Scientific American. The company was formerly known as Innocentive Innovation, Inc. InnoCentive, Inc. was founded in 2001 and is based in Waltham, Massachusetts, with an additional headquarters in London, United Kingdom.",InnoCentive is an open innovation company that crowdsources commission research and development problems.
Intradiem,intradiem.com,"Intradiem, formerly Knowlagent, provides call center software that increases agent utilization through automated intraday management and dynamic delivery of coaching, training, communications, and other off-phone, shrinkage activities during idle time. Intradiem's call center software, which improves call center productivity, is on-demand, easy to use and requires no capital expenditures.","Intradiem, Inc. provides intraday automation solutions for multi-channel contact centers. It offers task management, real-time adherence, intraday staffing, channel balancing, alerts and notifications, and reskilling solutions. The company also provides implementation, training, consulting, managed services, success management, and customer support services. It serves companies in telecommunications, financial services, and healthcare industries, as well as outsourcers worldwide. Intradiem, Inc. was formerly known as Knowlagent, Inc. and changed its name to Intradiem, Inc. in January 2013. The company was founded in 1995 and is based in Alpharetta, Georgia.",Intradiem is a software compay that provides an Intelligent Assistant for customer service teams.
Kaltura,kaltura.com,"Kaltura provides an Open Source Online Video Platform, transforming the way people work, learn, and entertain using online video. The Kaltura platform engages viewers by providing media companies advanced video management, publishing, and monetization tools that increase reach and monetization and simplify video operations. Kaltura improves productivity and interaction among employees by providing enterprises online video tools for boosting internal knowledge sharing, training, and collaboration, and for more effective marketing. Kaltura offers next generation learning for students and teachers by providing educational institutions online video solutions for improved teaching, learning, and increased engagement across campuses and beyond.","Kaltura Inc. provides various Software-as-a-Service products and solutions and a Platform-as-a-Service. It offers video products, such as video portal, town halls, video messaging, webinars, and virtual events and meetings for video-based communication, collaboration, training, and customer experience; and video industry solutions, such as learning management system video solution and lecture capture and virtual classroom solution for educational institutions. The companyÂ’s Video Experience Cloud offers live, real-time, and on-demand video products including Video Portal, Town Halls, Video Messaging, Webinars, Virtual Events and Meetings. It also offers specialized industry solutions, including Learning Management System Video, Lecture Capture and Virtual Classroom for educational institutions, as well as a TV Solution for media and telecom companies. In addition, the company offers a TV Solution that allows to provide OTT advertising and subscription-based live and on-demand TV services for media companies and telecom operators. It provides media services, such as APIs, SDKs, and experience components, including live, real-time, and on-demand video ingestion, transcoding, management, search, security, distribution, publishing, engagement, monetization, and analytics, as well as video and TV content management systems. It serves a range of industries, including financial services, high technology, healthcare, education, public sector, media, and telecommunications. Kaltura Inc. was incorporated in 2006 and is based in New York, New York.",Video Platform as a Service and Enterprise SaaS Video Applications
