Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Actuate,actuate.ai,Actuate employs artificial intelligence to automatically identify firearms in security camera feeds and immediately notifies law enforcement and provides early warning to building occupants.,"Actuate Corporation provides software solutions and services to corporate and government customers worldwide. It offers BIRT Designer Pro, a client developer tool that creates BIRT designs, metadata definitions, cube definitions, ad-hoc templates, reusable components, and reports used by professional application developers and report developers to build dynamic, interactive custom information applications; BIRT iHub Visualization Platform that powers, integrates, and manages BIRT-based information and analytic applications in the new age of mobility and big data; and BIRT Analytics, an interrogative tool designed to allow business users to uncover trends, visually mine for unknown correlations, or perform time-series extrapolation for forecasts on both traditional and Big Data assets, such as social media, Internet data, machine generated data, and traditional corporate sources. The company also provides BIRT Content Services that is designed to give customers the flexibility to integrate individual components within their existing infrastructures or to deploy the complete solution to manage the end-to-end process of enterprise customer communications; and BIRT iHub onDemand, a hosted service of the BIRT iHub and its suite of visualizations, including dashboards, ad-hoc report Studio, and Interactive Viewer. In addition, it offers consulting services, such as application development strategy, project management, security integration, and application design. The company sells its software and services directly through its sales force, as well as through original equipment manufacturers, system integrators, and resellers. Actuate Corporation was founded in 1993 and is headquartered in San Mateo, California. As of January 15, 2015, Actuate Corporation operates as a subsidiary of Open Text Corporation.",Actuate builds software that employs computer vision to automatically detect gun threats and intruders in security camera feeds.
ActZero,actzero.ai,"ActZero provides Managed Detection and Response services powered by AI technology and strategic acquisitions. ActZero’s Intelligent MDR can help users drive security engineering, increase internal efficiencies and effectiveness and, ultimately, build a mature cybersecurity posture.","ActZero, Inc. offers software solutions for enabling consumers to interact with broadcast television and respond in real time over a global computer network. It provides cutting edge tools, security posture evolution, superior threat intelligence, and multi platform solutions. The company was incorporated in 2019 and is based in Burlingame, California.",ActZero.ai is a software development company that builds an AI-driven security platform.
AdaptiLab,adaptilab.com,AdaptiLab helps companies build machine learning teams with an automated technical screening platform for candidates' coding and analytics skills.,"AdaptiLab, Inc. is a business to business technical screening platform that helps companies interview potential new hires. The platform provides a cloud based coding environment to test candidates abilities on real data problems. It uses machine learning to assess data analysis, data engineering, and model training code. The company was founded in 2018 and is based in Seattle, Washington. As of June 28, 2021, AdaptiLab, Inc. operates as a subsidiary of CoderPad, Inc.","AdaptiLab is a B2B, SaaS, machine learning, and recruiting company."
AddStructure,addstructure.com,"AddStructure helps retailers offer a white-labeled natural language understanding (NLU) platform that Retailers and Brands can use to enable conversational commerce channels. Each day, millions of consumers interact with AddStructure's products: Signal Search, Path, and Scaffold. Applications of the technology ranges from review summarization (distilling thousands of reviews of a product into digestible pros and cons) to a complete conversational commerce system (chatting with an intelligent digital assistant to find and purchase products).","AddStructure Inc. develops a platform that allows retailers to deploy search and discovery products that include machine learning and natural language processing products. It offers Signal, a plugin that integrates with platforms, such as Solr to automatically improve relevance for subjective, thematic, and semantic search queries; Path that automatically creates search engine optimized landing pages to capture organic search traffic; and Scaffold, an API that provides the building blocks for various search and discovery projects. The company was founded in 2014 and is based in New York, New York. As of February 23, 2018, AddStructure Inc. operates as a subsidiary of Bazaarvoice, Inc.",AddStructure offers a white-labeled natural language understanding platform.
Adla,adla.site,Adla is a subscription service for womens clothing. It uses AI to provides customers with a customized monthly box of clothing and allows them to return the items that do not fit.,"Adla operates as an online shopping website. The company allows the user to get the clothes and brands of choice by the medium of texting and pictures. The company provides user with the option of ""try and buy"". Adla is based in the United States.",Adla is a clothing company that provides an artificially intelligent styling service.
Affectiva,affectiva.com,"Affectiva specializes in emotion recognition technology and develops an emotion-sensing and analytics software built on an emotion AI science platform that uses deep learning and a global data repository of emotion data points.On May 25, 2021, Affectiva was acquired by Smart Eye at a valuation of $73.5M.","Affectiva, Inc. develops an emotion-sensing artificial intelligence software solution for use in the commercial market to understand how consumers engage with digital content and understand advertising and communication messages. The company offers a software development kit and cloud-based API; a cloud-based solution that allows brands, advertisers, and market researchers to understand the consumer emotional engagement with digital content; an emotion-as-a-service to analyze human expressions; and an in lab biometric solution. It serves industries ranging from advertising and automotive to social robotic and healthcare markets. The company was incorporated in 2009 and is based in Boston, Massachusetts with an additional office in Cairo, Egypt. As of June 23, 2021, Affectiva, Inc. operates as a subsidiary of Smart Eye AB (publ).",Affectiva is a developer of an emotion-recognition software designed to analyze subtle facial and vocal expressions.
Agolo,agolo.com,Agolo creates personalized summaries of what's happening in social networks and in the news. Agolo uses machine learning and natural language processing to simplify and summarize the stories that matter to each individual client.,"Agolo, Inc. develops an artificial intelligence global platform to create summaries from users information in real-time. It uses machine learning and natural language processing to simplify and summarize the information. Agolo, Inc. was formerly known as Ninoh, Inc. The company was incorporated in 2012 and is based in New York, New York.","Agolo is the most advanced summarization software that connects to news, documents, cloud storage to create summaries in real-time."
Agora Brands Group,agorabrandsgroup.com,Agora Brands Group provides AI interactive avatar technology.,"The Face of AI - AI Interactive Avatars for kiosks, websites, mobile devices, PC, social media platforms and globally. Our mission is to transform the interaction between people and technology. Agora Brands Group combines art-based technologies with artificial intelligence into avatars that promote a more human engagement with technology. At Agora Brands Group an avatar is technology that looks like a person, moves like a person, speaks with you, listens to you, sees what you are doing, understands what you are saying and offers help and advice within a customer service setting.  Agora Brands Group is The Face of AI. Most avatars applied to business applications today are “pitch” avatars while the avatars being developed by Agora Brands Group strive to deliver a higher level of interaction.  These avatar designs deploy AI-driven technologies of facial and speech recognition along with the latest developments in the language technologies of Natural Language Understanding and Natural Language Processing. Global economies have shifted and continue to shift from manufacturing-centric to service-centric.  In the growing service economy there is rising demand for well-trained, educated, engaging and personable front-line staff.  These employees work in customer service positions as well as service and support roles in the food services, retail, eldercare, healthcare, travel and hospitality sectors.  To fill these critical front-line positions, companies increasingly are turning to digital solutions to address a shortage of qualified staff.  Chatbots, automated voicemail systems and call center facilities fail to fill this gap with any degree of quality or success.  Avatars will be in the forefront of delivering a satisfying customer service experience in the decades to come.  Agora Brands Group is developing a digital solution to fill the growing gap in demand for quality customer service support.","The Face of AI - AI Interactive Avatars for kiosks, websites, mobile devices, PC, social media platforms and globally."
Aible,aible.com,"Aible has developed an AI software that offers services including data cleansing, feature creation, model training, data scoring, model deployment and quantifying impact to help business users.","Aible, Inc. develops real-world artificial intelligence (AI) for business people and analysts, data scientists, and IT and development operations that delivers business impact. The company develops an AutoML platform that enables business users to build AI models based on their real cost-benefit tradeoffs and operational constraints. Its solutions are used in various cases, including pricing optimization, lead scoring, customer churn, next best action, cross sell, sales attribution, hiring and retention, customer services call routing, claims management, policy pricing, credit lending/scoring, fraud detection, anti-money laundering, debt collection, patient readmission, prioritize and triage, predictive maintenance, supply chain optimization, and inventory management. The company serves banking, finance, insurance, healthcare, marketing, retail, telecom, manufacturing, transportation, public sector, education, entertainment, and utilities sectors. Aible, Inc. was founded in 2018 and is based in Foster City, California with an additional office in London, United Kingdom.","Aible enables business people to create Real World AI that delivers measurable business impact in a way that’s simple, fast, and secure."
AiCure,aicure.com,"AiCure is an AI and advanced data analytics company targeting the health care industry. AiCure uses AI to see, hear and understand how people respond to treatment across clinical trials and patient care. Clinically proven to accurately measure and modify patient behavior, AiCure’s technologies keep patients engaged and optimized to treatment, as well as assess treatment effectiveness.","AiCure, LLC develops and offers scalable medication adherence and intelligent medical assistant (IMA) solutions that leverage a visual recognition platform to monitor patient progress on mobile devices. The companys solution confirms medication ingestion in clinical trials and high-risk populations. Its software identifies the patient and medication, as well as uses various features to detect diversion and identify duplicate enrollment; and captures evidence of medication ingestion for immediate intervention and longitudinal tracking of adherence patterns. The companys solutions work on smartphones and are used by researchers and providers to monitor their patients. It has a strategic partnership with Syneos Health. AiCure, LLC was formerly known as Ai Cure Technologies LLC and changed its name to AiCure, LLC in January 2014. The company was incorporated in 2009 and is based in New York, New York.",AiCure is an advanced data analytics company that uses artificial intelligence to understand how patients respond to treatments.
Aigo.Ai,aigo.ai,Aigo.Ai is a natural language interaction platform built on human brain-like cognitive architecture. It provides artificial intelligence that is able to understand human demands and conversations. It has applications for both enterprises and consumers.,"Aigo.ai Inc. designs and develops a personal assistant software that allows users to control and monitor home, car, and other devices. The company offers artificial intelligence based conversational technology that enables users to take notes, to manage calendar, to message, to understand the context and sentences. Its technology is used as co-pilot, sales assistant, healthcare assistant, enterprise, personal assistant, personal assistant for cars, and commercial robots. The company was founded in 2017 and is based in Redondo Beach, California.","World's First and Only Intelligent Cognitive Assistant - - Remembers, Learns, Reasons, Understands Context and Manages Ongoing Conversations"
AIM2,aim-squared.com,"AIM2 is an artificial intelligence trading venture. The platform uses AI technology, as well as data science and machine learning, to develop various alpha investment strategies. The company uses machine learning to augment market-making, optimize risk management through the application of machine learning techniques​, and streamline compliance processes.On February 23rd, 2021, AIM2 was acquired by SparkCognition. The terms of the transaction were not disclosed.","AIM2 designs and develops artificial intelligence solutions. The company was founded in 2015 and is based in Austin, Texas. As of February 23, 2021, AIM2 operates as a subsidiary of SparkCognition, Inc.",AIM2 is a financial technology company that creates cutting-edge artificial intelligence-powered investment processes and management tools.
AISERA,aisera.com,"AISERA delivers a proactive, personalized, and predictive AI Service Management (AISM) solution that is purpose-built to automate tasks and actions for IT, HR, facilities, and customer service. Aisera's AI Service Desk works with existing service desk solutions to deliver an improved end-to-end service experience for employees and customers. The AI Service Desk automates and resolves customer service and IT support issues with conversational AI and intelligent process automation to deliver self-service to users on day one while reducing support and service costs.","Aisera, Inc. develops an artificial intelligence (AI) based platform that automates tasks, actions, and workflows for employees and customers. Its products include AI Service Desk, a tool for IT, human resources (HR), sales, and operations; and AI Customer Service, a tool for customer service and global service centers that plugs into the tools and systems. It offers a personalized and predictive AI Service Management (AISM) solution, incorporating conversational AI and robot process automation (RPA) to automate workflows for both enterprise and consumer organizations. The solution auto-resolves tasks, actions, and workflows for information technology (IT), customer service, sales, and operations. The company was incorporated in 2017 and is based in Palo Alto, California.","Aisera provides AI-driven service solution that automates operations and support for IT, human resources, sales, and customer service."
AitoeLabs,aitoelabs.com,AitoeLabs has developed an end-to-end visual intelligence platform that can process videos and images leveraging the latest advances in deep learning. The output allows to create visual data management solutions by tagging videos that help in analyzing and managing video and image data.,"AitoeLabs is an AI technology company. AitoeLabs customizes Deep Learning models, by fine-tuning them on data from the deployment scenarios, dramatically improving accuracies. They can achieve this with minimal effort and fast turn-around time, thanks to their proprietary quick data training pipeline, which leverages their research in data summarization and active learning. Their models are optimized to run on the edge on resource constrained devices.",AitoeLabs is an AI technology company.
Alcatraz AI,alcatraz.ai,Alcatraz uses real-time 3D facial mapping and neural networks to automatically enroll an individual based on any current access control method. Entry is granted based on secure facial recognition with instant one-factor authentication for multi-person in-the-flow sensing.,"Alcatraz AI, Inc. manufactures and develops a facial authentication product that uses machine learning and computer vision to control physical access to government buildings and corporate campuses. The company provides an access point identification method by leveraging facial recognition, 3D sensing, and artificial intelligence to enable secure and frictionless entry into physical locations. The solution uses real-time 3D facial mapping and deep neural networks to automatically enroll an individual based on any current access control method and combines software with a hardware device equipped with sensors, mounted next to a locked door, to recognize a person as they approach the device and open the door. It serves various industries, including enterprise and data center; healthcare; financial services; energy and utilities; education; and government. Alcatraz AI, Inc. was formerly known as Rainbe Inc. and changed its name to Alcatraz AI, Inc. in February 2017. Alcatraz AI, Inc. was incorporated in 2016 and is based in Redwood City, California.",Alcatraz is an AI company that leverages the enterprise access control environment by enabling touchless and secure entry.
Alegion,alegion.com,"Alegion provides data science teams with a platform to accelerate and optimize AI and machine learning projects by supplying large-scale, custom training datasets, human-scored results validation, and human-in-the-loop exception processing.","Alegion Inc. designs and develops training data preparation platform for artificial intelligence and machine learning. It offers Alegion, an enterprise crowdsourcing platform that allows businesses to integrate crowd labor within their internal business processes. The companys platform includes Alegion Desktop, a central administrative console that combines desktop environment with the benefits of a web page, as well as allows users to open multiple windows, look at multiple windows, and resize those windows as needed. The companys platform also includes Workflow Editor, a drag and drop visual process design tool that enables user to build workflows; and Task Designer, an interface that allows users to edit tasks using the text editor or via HTML, as well as enables them to choose from a list of pre-built task templates for common crowd sourcing use cases or build their own from scratch. In addition, its platform also comprises Private Crowd Portal, a private microtask marketplace for internal resources that enables businesses to influence their existing employees, contractors, consultants, and customers to complete microtasks that they do not want to send out to the public crowd; and REST API, an API Explorer that provides documentation of every resource, operation, and property, as well as allows testing right from within the documentation. Alegion Inc. was incorporated in 2014 and is based in Austin, Texas with an additional office in Kuala Lumpur, Malaysia.",Alegion’s platform blends human and machine intelligence to provide accurate labeled data used to train or validate machine learning models.
Allganize,allganize.ai,"Allganize provides natural language understanding API and a conversational artificial intelligence agent to enterprises, allowing clients to securely search, discover, and organize company documents across various platforms such as Google Drive, Confluence, Jira, Slack, Zendesk, and more.","Allganize, Inc. develops a Software-as-a-Service platform that enables enterprises to automate answering questions from a myriad of unstructured text documents. It offers Alli Answer Bot, a conversational AI chat bot pre-trained for websites and automates customer service; Cognitive Search Solution, an intelligent search that extracts accurate answers from any document instantaneously; Named Entity Recognition (NER), a solution that automatically extracts important keywords from any document and categorizes them to provides valuable insights; Product Review Analysis, a solution that understands the context of product reviews using one's natural language to automatically detect positive or negative experiences; Text Classification, a solution that assigns predefined categories from customer support conversions to accurately determine user intent; and Sentiment Identification, a solution that detects positive or negative sentiment from customer support interactions to discover trends for actionable insights. The company was incorporated in 2017 and is based in Oakland, California with additional offices in Tokyo, Japan; and Seoul, South Korea.",Allganize provides Natural Language Understanding API and conversational AI for enterprises.
Alpha Drive,alphadrive.ai,Alpha Drive is a platform for the validation of autonomous vehicle AI.,"Alpha Drive, Inc. provides quality assurance tools for the AI era. The company offers Alpha Drive, a Platform-as-a-Service that provides cloud-based data and tools for testing and validation of AI algorithms for the automotive industry. It serves developers, insurers and regulators, and companies and consumers. The company was founded in 2017 and is based in Brooklyn, New York.",Alpha Drive is a PaaS for testing and validating AI algorithms - starting with autonomous vehicles - through cloud based simulation.
AlphaSense,alpha-sense.com,"AlphaSense transforms the way companies get information and make critical decisions with its AI-powered business insights platform. The company's mission is to organize and semantically index global investment and market research data, allowing clients to be more efficient and outdo the competition.","AlphaSense, Inc. develops search engine solution for information discovery. The companys platform enables research professionals to search, navigate, set alerts; and analyze filings, research, news, and other disclosures for critical data points. AlphaSense, Inc. was incorporated in 2007 and is headquartered in New York, New York. It has additional offices in London, United Kingdom; Helsinki, Finland; Pune, India; and the United States.",AlphaSense is an AI-powered business insights platform that is transforming the way companies uncover insights and make critical decisions.
Baseet.ai,baseet.ai,"Baseet.ai is a drag-and-drop platform for integrating AI and computer vision into your existing apps, with a marketplace for developers to share what they’ve built.","Baseet.ai, Inc. designs and develops a platform for developing and modifying existing artificial intelligence (AI) applications. It provides a drag-and-drop application platform, turns model to online web, automated process, and offers online code editor services; and pre-built applications such as face recognition, image style transfer, face detection, sentiment insights, and object detection. It also provides a tutorial to create an application. The company was founded in 2019 and is based in San Mateo, California.",Baseet.ai is a developer of an AI development platform designed to add AI capabilities to existing applications.
Bellwethr,bellwethr.com,Bellwethr is a conversion and retention platform that uses machine learning to optimize every process in the customer lifecycle.,"Bellwethr Inc. develops customer decision optimization (CDO) platform that solves business problems using artificial intelligence and machine learning. The companys platform automates personalized, next-best actions for critical events in the customer journey that increases customer retention and lifetime value. The company was founded in 2017 and is based in Wamego, Kansas.",Bellwethr utilizes autonomous operating systems for roles throughout subscription-based businesses.
BetterHalf,betterhalf.ai,BetterHalf is a life partner search product that uses Artificial Intelligence for professionals to find each other through true compatibility scores based on multiple relationship dimensions and their interactions on the product.,"Betterhalf Private Limited operates an artificial intelligence (AI)-based online matchmaking platform. Its platform allows users to create their personality profile and uses AI-based compatibility algorithm to predict matches based on basic preferences. The company was founded in 2016 and is headquartered in Bengaluru, India.",Betterhalf builds an AI-based partner prediction engine based on the past data of millions of married couples.
C. Light Technologies,clighttechnologies.com,C. Light Technologies aims to use artificial intelligence and machine learning techniques to assess changes in eye movement as subtle as one-hundredth the size of a human hair with the help of a new tracking scanning laser ophthalmoscope device.,"C. Light Technologies, Inc. operates as a neurotech company that develops an eye tracking technology for the detection and monitoring of neurodegenerative diseases. It offers machine learning algorithms and instrument that monitor multiple sclerosis (MS) by measuring neurological activity through imaging the retina. The company was incorporated in 2014 and is based in Berkeley, California.",C. Light Technologies is a developer of a retinal eye-tracking platform used to improve the monitoring of neurodegenerative diseases.
C3.ai,c3.ai,"C3.ai (NYSE: AI) is an AI software provider that delivers the C3 AI Suite for developing, deploying, and operating large-scale AI, predictive analytics, and IoT applications at scale for any enterprise value chain in any industry. The core of the C3.ai offering is a model-driven AI architecture that enhances data science and application development. C3.ai’s pre-built applications, for a variety of industries, include predictive maintenance, fraud detection, supply network optimization, energy management, and anti-money laundering.","C3.ai, Inc. operates as an enterprise artificial intelligence (AI) software company in North America, Europe, the Middle East, Africa, the Asia Pacific, and internationally. It offers software-as-a-service applications for enterprises. Its software solutions include C3 AI Suite, a platform-as-a-service application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; C3 AI Ex Machina to analysis-ready data; and C3 AI CRM, an AI-first customer relationship management solution to drive customer-facing operations. It also offers C3 AI applications, including C3 AI Inventory Optimization, a solution to optimize raw material, in-process, and finished goods inventory levels; C3 AI Supply Network Risk, which provides visibility into risks of disruption throughout the supply chain operations; C3 AI Customer Churn Management, which enables account executives and relationship managers to monitor customer satisfaction, as well as to prevent customer churn with AI-based and human-interpretable predictions and warning; C3 AI Production Schedule Optimization, a solution for scheduling production; C3 AI Predictive Maintenance, which provides insight into asset risk to maintenance planners and equipment operators; C3 AI Fraud Detection solution that identify revenue leakage or maintenance and safety; and C3 AI Energy Management solution. In addition, it offers integrated turnkey enterprise AI applications for oil and gas, chemicals, utilities, manufacturing, financial services, defense, intelligence, aerospace, healthcare, and telecommunications market segments. It has strategic partnerships with Baker Hughes in the areas of oil and gas market; FIS in the areas of financial services market; Raytheon; and AWS, Intel, and Microsoft. The company was formerly known as C3 IoT, Inc. and changed its name to C3.ai, Inc. in June 2019. C3.ai, Inc. was incorporated in 2009 and is headquartered in Redwood City, California.",C3 AI is a provider of Enterprise AI software for accelerating digital transformation.
Calypso AI,calypsoai.com,"Calypso AI develops AI security software to measure, understand, and improve AI systems.","Calypso AI Corp. develops software products to solve artificial intelligence risks for national security and highly-regulated industries. It offers Vespr software platform, an integrated model accreditation and model risk management system that enables users to monitor artificial systems for ongoing performance, compliance, and security thresholds. Its solution is also used by teams to validate, monitor, and secure their artificial intelligence. The company was incorporated in 2018 and is based in San Mateo, California with additional offices in New York, Virginia, and Ireland.",Calypso AI provides a platform that allows organizations to accelerate their use of AI technologies.
Capacity,capacity.com,"Capacity is an AI-powered support automation platform that helps teams do their best work. Capacity's Knowledge Base answers FAQs (from customers or team members), the Helpdesk provides “Level 1” support, and the Workflows automate processes – all in one single interface and accessible via natural language chat.","Capacity Networks developes software solutions in the areas of data storage, distributed computing, e-procurement, and engineering simulation software.",Capacity is an AI-powered helpdesk that automates support for customers and employees.
Cape Analytics,capeanalytics.com,Cape Analytics uses AI and geospatial imagery to provide instant property intelligence for buildings across the United States so insurers can more accurately assess a property's risk and value.,"Cape Analytics, LLC develops an artificial intelligence (AI) based geospatial imagery data platform to help insurance and reinsurance companies in evaluating properties as part of the underwriting process in the United States. The company through its platform enables insurers and other property stakeholders to access property attributes at the time of underwriting, with the accuracy and detail that traditionally required an on-site inspection. It serves real estate and insurance companies. Cape Analytics, LLC was formerly known as Capere, Inc. The company was incorporated in 2014 and is based in Mountain View, California.",Cape Analytics uses deep learning and geospatial imagery to provide instant property intelligence for buildings across the United States.
Caption Health,captionhealth.com,Caption Health uses deep learning to help medical professionals in developing countries interpret ultrasounds so they can better treat heart disease.,"Caption Health, Inc. develops software solutions to acquire and interpret ultrasound exams using artificial intelligence. It offers Caption AI echocardiography guidance software to provide real-time guidance to enable healthcare providers to capture diagnostic-quality images; interpret ultrasound images; and automate quality assessment. Caption Health, Inc. was formerly known as Bay Labs, Inc. and changed its name to Bay Labs, Inc. in October 2019. The company was incorporated in 2013 and is headquartered in Brisbane, California.",Caption Health is a medical company that uses artificial intelligence (AI) to interpret ultrasound exams.
Casetext,casetext.com,"Casetext provides information and research services to litigation practices. The company's software, CARA, automates key legal research tasks by leveraging artificial intelligence and machine learning technologies to analyze litigation documents, and uses that information to algorithmically query the law.","Casetext, Inc., an automated legal research company, develops artificial intelligence (AI)-based research tool for lawyers and legal firms to provide information services to their clients. It offers CARA, an AI-backed automated research assistant. The companys tool also analyzes the document uploaded on it, algorithmically queries the law with its legal database, and finds appropriate cases. Casetext, Inc. was formerly known as J2H2, Inc. The company was founded in 2013 is based in San Francisco, California.","Casetext is an AI legal research technology for litigators, helping researchers find cases."
