Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Covariant,covariant.ai,"Covariant AI is developing AI software that makes it easy to teach robots new, complex skills.","Covariant Corporation provides wireless communications consulting services. Its areas of expertise include IEEE 802.11/Wi-Fi, Bluetooth, physical layer design, signal processing, standardization, and intellectual property. The company was incorporated in 2013 and is headquartered in Los Altos, California.",Covariant is a developer of artificial intelligence for robotics.
Dexterity,dexterity.ai,"Dexterity provides Robots-as-a-Service solutions to automate pick and place tasks in warehouses, logistics, and supply chain.","Dexterity Inc develops robot dexterity solutions for logistics, warehousing, and supply chain applications. The company was founded in 2017 and is based in Palo Alto, California.","Dexterity offers robots as a service solution for logistics, warehousing, and supply chain operations."
DroneDeploy,dronedeploy.com,"DroneDeploy develops a cloud software platform for commercial drones, and is making aerial data accessible and productive for everyone. DroneDeploy is transforming the way businesses leverage drones and aerial data across industries, including agriculture, construction, mining, inspection and surveying. Simple by design, DroneDeploy enables professional-grade imagery and analysis, 3D modeling and more from any drone on any device.","DroneDeploy, Inc. develops and delivers cloud-based drone software solutions. The company's products and services include flights, processing, analysis, enterprise platform, app market, and supported drones. The company also delivers orthorectified maps, topographic modeling with DSMs and DTMs, crop health visualizations, and 3D models and point clouds; and develops a mobile application that provides aerial mapping, imaging, and drone automation solutions. In addition, the company offers a drone on-demand solution that enables customers to plan a flight mission using DroneDeploy's cloud platform and then request a certified professional pilot from DroneBase, who will go to the site, perform the flight, and collect aerial data. The company serves professional services, agriculture, construction and surveying, inspection, mining and quarries, oil and gas, roofing and insurance, and solar sectors in the United States, Canada, the United Kingdom, and Australia. The company has a strategic alliance with Aeryon Labs Inc. DroneDeploy, Inc. was formerly known as Infatics, Inc. and changed its name to DroneDeploy, Inc. in June 2018. DroneDeploy, Inc. was incorporated in 2013 and is based in San Francisco, California.",DroneDeploy is a cloud-based drone mapping and analytics platform to help businesses get things done.
Embodied,embodied.me,"Embodied is a robotics and AI company that develops companion robots for care and wellness, enhancing the quality of life for individuals and families.","Embodied, Inc., a robotics company, develops and supplies personal robots. It offers Moxie, a fun engaging animate companion for children designed to help promote social, emotional, and cognitive development through everyday play-based learning and captivating content. Embodied, Inc. was formerly known as CareBots, Inc. The company was incorporated in 2016 and is based in Pasadena, California.",Embodied is an AI company that develops state-of-the-art companion robots.
Fortem Technologies,fortemtech.com,"Fortem Technologies delivers products to enable safe autonomous airborne operations. Fortem Technologies' solutions allow organizations to transition their unmanned aircraft operations beyond human line of sight (BLOS) as well as protect their resources from threats in the air. The Fortem DroneHunter is an unmanned counter-UAS aircraft that uses the TrueView Radar, machine learning algorithms, proprietary guidance systems, and an open command & control system to autonomously fly toward unwanted drones in the sky and detect, track, classify, monitor via video stream, inspect, and safely capture intruding drones at a safe distance from the protected area.","Fortem Technologies, Inc. develops and manufactures intrusion detection and detect-and-avoid solution that alerts, identifies, and classifies drones and other unmanned aircraft vehicles (UAVs). It offers AI-enabled airspace security and safety solutions. The company offers detect and avoid radars, such as DAA-R10, a product that provides the aircraft integrator with a radar to detect and avoid, as well as mounting points that allow flexibility to meet the needs of specific aircraft integrations; ThreatAware, an AI analysis engine that assesses data from multiple sensors and sources in real-time; F700 Patriot, a multi-rotor drone platform; and DAA-R20, a product for mission critical detecting and avoiding operations that conforms to FAA and industry design and safety standards. It also provides DroneHunter, the military-tested unmanned aircraft that provides perimeter intrusion detection and protection. Fortem Technologies, Inc. was incorporated in 2016 and is based in Pleasant Grove, Utah.","Fortem Technologies is a privately held, venture backed company that delivers ultra small C-SWAP radar to enable the autonomous revolution."
Gecko Robotics,geckorobotics.com,Gecko Robotics designs and deploys inspection robots for industrial services such as commercial power plants and boilers. Its robots collect data about their environment and are able to climb walls to reach difficult locations.,"Gecko Robotics, Inc. provides industrial inspection services to protect and maintain infrastructure through machines and platforms. It also sells apparel and accessories online. The company serves power, oil and gas, and pulp and paper industries. Gecko Robotics, Inc. was founded in 2013 and is based in Pittsburgh, Pennsylvania. It has locations in Austin and Houston, Texas; Seville, Spain; and Santiago, Chile.",Gecko Robotics develops and operates robots to perform infrastructure inspections by climbing into confined and dangerous places.
Hansen Medical,hansenmedical.com,"Hansen Medical makes an electromechanical robotic system which provides accurate and efficient control over catheter movement during interventional procedures. The system is controlled by the physician from a workstation that integrates visualization, guidance, and patient physiologic data. (NASDAQ: HNSN).","Hansen Medical, Inc. develops, manufactures, and sells medical robotics designed for the positioning, manipulation, and control of catheters and catheter-based technologies in the United States and internationally. It offers Sensei systems and Artisan Control Catheters for manipulation, positioning, and control of mapping catheters during electro-physiology procedures; and CoHesion 3D Visualization Module, a software interface that provides physicians with 3D visualization to augment their ability to move a catheter throughout the atria, as well as increase control over placement of the catheter in specific locations. The company also provides Magellan Robotic System, which controls the proprietary Magellan Robotic Catheter, a telescoping and robotically steerable catheter that facilitates remote catheter navigation and vessel cannulation, and provides robotically stabilized catheter for manual delivery of therapeutic devices. It markets, sells, and supports its products through direct sales force, distributors, and sales representatives. Hansen Medical, Inc. was founded in 2002 and is headquartered in Mountain View, California. As of July 27, 2016, Hansen Medical, Inc. operates as a subsidiary of Auris Health, Inc.",Hansen Medical designs and manufactures medical robotics for the accurate positioning and control of catheter-based technologies.
Harvest Automation,harvestai.com,"Harvest Automation is a material handling company whose robots resolve acute manual labor problems across multiple industries, starting with Agriculture. Harvest has developed a new approach to automating a variety of traditionally manual labor tasks based on mobile robot technology. Teams of small, highly intelligent machines work safely with laborers to perform the most physically demanding parts of these tasks, and at a significantly reduced cost.","Harvest Automation, Inc. designs, manufactures, and supplies mobile robots for material handling and data management applications in a range of industrial environments. The company offers OmniVeyor family of products to perform material handling tasks in unstructured and challenging environments, such as those found in agriculture, construction, manufacturing, and distribution and fulfillment. Its products include HV-100 robot that is designed to automate spacing, re-spacing, collection, and consolidation on commercial and wholesale nursery and greenhouse operations; and TM-100 robot that is used to improve each-picking, replenishment, and returns processing works in distribution and fulfillment centers. Harvest Automation, Inc. was formerly known as Q Robotics, LLC and changed its name to Harvest Automation Inc. in 2008. The company was founded in 2007 and is based in Billerica, Massachusetts.",Harvest Automation is a material handling company that provides robots to resolve manual labor problems across multiple industries.
Humatics,humatics.com,"Humatics is developing sensors, software, and control systems that enable robots and other autonomous systems to work within human environments. Humatics is committed to human first design - the idea that people remain essential to the technologies that enrich their lives. Humatics' microlocation system and analytics software comprise a spatial intelligence platform that will change how people and machines locate, navigate and collaborate.","Humatics Corporation develops sensors, software, and control systems that enable humans and machines to locate and navigate in a connected world. It develops spatial intelligence platform that includes rail navigation systems, micro location systems, and analytics software to improve human-robot collaboration. The company technologyÂ’s also captures millimeter-scale position and motion data both indoors and outdoors. It serves transportation and manufacturing industries. Humatics Corporation was founded in 2015 and is based in Waltham, Massachusetts with an additional office in Huntsville, Alabama.","Humatics is developing microlocation products that will revolutionize how people and machines locate, navigate, and collaborate."
Intuitive Surgical,intuitivesurgical.com,"Intuitive Surgical (Nasdaq: ISRG) serves the field of robotic-assisted minimally invasive surgery. Since its inception, the company has consistently provided surgeons and hospitals with the tools needed to improve clinical outcomes and to help patients return to active and productive lives. With its corporate headquarters located in Sunnyvale, California, Intuitive Surgical serves customers throughout the United States and internationally, providing technology and procedural innovation across cardiac, urology, gynecologic, pediatric, and general surgical disciplines.Since its first da Vinci System shipment, Intuitive Surgical has expanded its installed base to more than 850 academic and community hospital sites, while sustaining growth in excess of 25% annually.Intuitive Surgical is proud to be fulfilling its mission to extend the benefits of minimally invasive surgery to the broadest possible range of patients, while providing extraordinary value for its customers, investors and employees.","Intuitive Surgical, SÃ rl manufactures medical equipment. The company was founded in 2007 and is based in Aubonne, Switzerland. Intuitive Surgical, SÃ rl operates as a subsidiary of Intuitive Surgical, Inc.",The da Vinci Surgical System is changing the experience of surgery for patients around the world.
inVia Robotics,inviarobotics.com,"inVia Robotics is developing automation solutions for e-commerce fulfillment centers. Its system uses autonomous mobile robots to increase inventory accuracy and warehouse productivity, and we offer it through Robotics-as-a-Service.","inVia Robotics, Inc. develops automation solutions for e-commerce fulfillment centers for ground up to pick and restock items in warehouse. It offers inVia Dynamic Automated Storage and Retrieval System for the fulfillment and material handling operations of e-commerce retailers and fulfillment providers. The company was incorporated in 2015 and is based in Westlake Village, California.",inVia Robotics provides next-generation robotics warehouse automation solutions for e-commerce distribution centers and supply chains.
Iron Ox,ironox.com,Iron Ox grows fresh and sustainable produce from robotic greenhouses.,"Iron Ox, Inc. develops robots for crop harvesting. The company provides Angus, an autonomous farm mobile robot. It also provides vegetables and fresh produce. The company was founded in 2015 and is based in San Carlos, California.",Iron Ox operates autonomous robotic greenhouses that grow every plant at its best from seed to harvest.
Jibo,jibo.com,"Jibo is a robot bringing intelligence and helpfulness with heart to the connected home. Jibo takes technology from user-friendly to genuinely friendly. Built as an open social robotics platform, Jibo's skills range from attentive companion to family helper to family communications hub, in addition to a world of Jibo Developer Skills to come.","Jibo, Inc. manufactures and sells electronic robots. The companyÂ’s electronic robot lets users talk to Jibo; learns usersÂ’ preferences; helps users to make everyday tasks simpler and easier; communicates and expresses using natural social and emotive cues; reminds usersÂ’ of important tasks and events; and recognizes users and member of their household. It offers solutions for adults, seniors, kids, teens, and developers in the United States, Canada, the EU countries, Norway, Switzerland, Australia, New Zealand, China, Taiwan, Singapore, Hong Kong, Vietnam, Indonesia, Thailand, Brazil, Argentina, Chile, Peru, and Mexico. The company was incorporated in 2010 and is based in Boston, Massachusetts.",Jibo is a design-driven company that creates unforgettable experiences through advanced robotics technology.
Kespry,kespry.com,"Kespry provides a platform for drone data capture and analytics which uses AI and Machine Learning to deliver new insights and accelerate operations in industries such as aggregates, mining, construction, and insurance.","Kespry Inc. provides touchless drone-based aerial intelligence solutions that enables industries to capture, analyze, and share insights about their businesses. The company offers Kespry Drone System, an automated unmanned aerial vehicle (UAV) that flies autonomously, collects aerial data, and uploads aerial data automatically to the Kespry Cloud, an aerial cloud intelligence platform for Kespry UAVs that simplifies reporting and translates data into actionable operational insights. It provides software and online services associated with the Kespry Drone System. The company serves mining and aggregate, construction, insurance, process, and pulp and paper industries globally. Kespry Inc. was founded in 2013 and is based in Menlo Park, California.","Kespry provides an aerial intelligence platform that transforms how organizations capture, analyze, and share insights about their business."
Knightscope,knightscope.com,"Knightscope develops technology that predicts crime with a combination of hardware, software, and social engagement.","Knightscope, Inc. develops autonomous robots for physical security in the United States. The companyÂ’s solutions provide an autonomous physical presence, gathering data from the environment in real-time, and pushing anomalies to its user interface. It serves customers in law enforcement, healthcare, retail industries, as well as corporate campuses. The company was incorporated in 2013 and is based in Mountain View, California.",Knightscope develops autonomous security robots that predict and prevent crimes.
Liquid Robotics,liquid-robotics.com,"Liquid Robotics is a provider of autonomous maritime systems and the developer of the Wave Glider, a wave- and solar-powered autonomous ocean surface robot. The Wave Glider's capabilities address the challenges facing defense, commercial, and science customers - such as global climate change, national security, hurricane and tsunami warning, and offshore energy and resource management - by making ocean data collection and communications easier, safer, and immediate.","Liquid Robotics, Inc. develops, tests, and refines Wave Glider, an unmanned surface robot for real-time ocean data collection and communications over long durations in defense, maritime domain awareness, environmental assessment, and oil and gas fields. Its robot connects subsea data and communicates it to satellites and land, creating an ocean network. The companyÂ’s products are used in various applications, such as navigating and collecting data in a typhoon; real time communication by measuring arctic water temperature; energy harvesting and propulsion; and harvesting data from seabed instruments. It also offers mission planning, mobilization, mission operation, mission reporting, and demobilization services. The company was incorporated in 2007 and is headquartered in Sunnyvale, California. As of December 9, 2016, Liquid Robotics, Inc. operates as a subsidiary of The Boeing Company.","Liquid Robotics designs and manufactures the Wave Glider, the first wave and solar powered unmanned ocean robot."
Locus Robotics,locusrobotics.com,Locus Robotics designs and builds autonomous mobile robots that work collaboratively alongside workers in the logistics and fulfillment industries.,"Locus Robotics Corp. develops and manufactures autonomous mobile robots for fulfillment warehouses. It offers LocusBots, an autonomous robot that uses various totes, boxes, bins, and containers and add special peripherals that simplify and speed order processing. The companyÂ’s robotics fulfillment solution also enables brands, retailers, and third-party logistics operators to meet high order volumes and the consumer demand for e-commerce, retail, omnichannel, and manufacturing order fulfillment. It serves retailers and manufacturers. Locus Robotics Corp. was founded in 2014 and is based in Wilmington, Massachusetts.",Locus Robotics is a warehouse robotics company that manufactures autonomous mobile robots to support e-commerce.
Magnetecs,magnetecs.com,"Magnetecs designs and manufactures a robotic Catheter Guidance Control and Imaging (CGCI) system for minimally invasive medical procedures. The system's electromagnetic array consists of eight electromagnets in a unique configuration for intelligent guidance of a magnetically-tipped catheter, enabling a physician to precisely and consistently control surgical tools in highly dynamic or previously inaccessible environments while enhancing both the physician's dexterity and the patient's safety.","Magnetecs Corporation designs and manufactures robotic catheter guidance control and imaging (CGCI) systems for minimally invasive medical procedures. Its CGCI robotic platform delivers precise and automated electromagnetic guidance and control of catheters and other surgical tools targeted for use in multiple fields, including electrophysiology, neurology, interventional cardiology, and obstetrics/gynecology. The company has strategic and affinity partnerships with Bearing Engineering, Inc; Boxx Technologies; Copely Controls; Dry Coolers; Eizo Nanao Corporation; EMS Imaging; National Insturments; NVIDIA; Power Engineering Industries; St. Jude Medical; Siemens Inc.; and Ziehm Imaging. Magnetecs Corporation was incorporated in 2003 and is headquartered in Inglewood, California.",Magnetecs designs and manufactures a robotic catheter guidance control and imaging system for minimally invasive medical procedures.
MAKO Surgical,makosurgical.com,"MAKO Surgical Corp. is a medical device company that markets its RIO Robotic-Arm Interactive Orthopedic system, joint specific applications for the knee and hip, and RESTORIS implants for orthopedic procedures called MAKOplasty. The RIO is a surgeon-interactive tactile surgical platform that incorporates a robotic arm and patient-specific visualization technology, which enables precise, consistently reproducible bone resection for the accurate insertion and alignment of MAKO's RESTORIS implants. The MAKOplasty solution incorporates technologies enabled by an intellectual property portfolio including more than 300 U.S. and foreign, owned and licensed, patents and patent applications.","MAKO Surgical Corp., a medical device company, markets its advanced robotic arm solution, joint specific applications for the knee and hip, and orthopedic implants for orthopedic procedures in the United States and internationally. The company offers MAKOplasty, a restorative surgical solution that enables orthopedic surgeons to treat patient specific osteoarthritic disease. It also provides robotic arm interactive orthopedic system (RIO) consisting of a tactile robotic arm utilizing an integrated bone cutting instrument; and a patient specific visualization component, which offers pre-operative and intra-operative guidance to the orthopedic surgeon, enabling tissue sparing bone removal, and accurate implant insertion and alignment. In addition, the company offers MAKOplasty partial knee arthroplasty (PKA) products that enable resurfacing of one or two specific diseased compartments of the joint, preserving more soft tissue and healthy bone of the knee; and MAKOplasty Total Hip Arthroplasty, a surgical solution that enables orthopedic surgeons to perform total hip arthroplasty. Further, it provides RESTORIS onlay knee implant system for patients who lack tibia sclerotic bone beds; RESTORIS MCK unicompartmental and bicompartmental knee implant system to support the tissue and bone sparing goals of MAKOplasty PKA; and RESTORIS family of hip implant systems. The company markets and sells its products through direct sales force, as well as through independent orthopedic product agents and distributors. MAKO Surgical Corp. was founded in 2004 and is headquartered in Fort Lauderdale, Florida. As of December 17, 2013, MAKO Surgical Corp. operates as a subsidiary of Stryker Corporation.",MAKO Surgical is a medical device company specializing in robotic- arm assisted surgery in orthopedics.
Matternet,mttr.net,"Matternet develops products that enable organizations around the world to build and operate drone logistics networks for transporting goods on-demand, through the air, at a fraction of the time, cost and energy of any other transportation method used today. The company's on-demand delivery platform is an end-to-end solution integrating the Matternet M2 Drone, the Matternet Station and the Matternet Cloud. Matternet provides the platform as a service to healthcare, e-commerce and logistics organizations.","Matternet Inc., a drone delivery company, develops a technology platform for on-demand aerial delivery in urban environments. It operates drone logistics networks over densely populated areas for the United States hospitals. It provides drone delivery services to healthcare, e-commerce, and logistics organizations in the United States. The company was founded in 2011 and is based in Mountain View, California.",Matternet makes access to goods as frictionless and universal as access to information.
Medrobotics,medrobotics.com,"Medrobotics has developed a platform of flexible medical robots that enable surgeons to access, visualize, and perform two-handed surgery in hard-to-reach anatomical places through a single-site access. The core technology is a new generation of flexible robotic snakes with advanced vision systems that are able to navigate tortuous paths while providing accessory channels for a wide range of flexible surgical tools. The robots are self-supporting, which means they are able to support their own weight and move within any three-dimensional space without the need for any other structural support. The company was formerly known as Cardiorobotics and Innvoention Technologies.","Medrobotics Corporation manufactures and markets robotic surgical products. It offers Flex robotic system, a robot-assisted platform that provides surgeons to access and visualize hard-to-reach anatomical locations. The company also provides Flex retractor, a low profile instrument for transoral robotic surgery (TORS), transoral laser microsurgery (TLM), and Flex procedures. In addition, it offers a suite of Flex instruments, including laser holders, fenestrated graspers, monopolar Maryland dissectors, monopolar scissors, needle drivers, monopolar spatulas, and monopolar needle knives. The company sells its products in Europe. Medrobotics Corporation was formerly known as Cardiorobotics, Inc. and changed its name to Medrobotics Corporation in June 2011. The company was founded in 2005 and is based in Raynham, Massachusetts.",Medrobotics is a medical robotics company developing and commercializing the Flex Robotic System.
