Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Epic Games,epicgames.com,"Epic Games is an American video game development company best known for its successful Gears of War series of games, as well as its Unreal Engine technology. Its subsidiaries are Chair Entertainment, People Can Fly, and Titan Studios.","Epic Games UK, a development studio, specializes in creating visual games and applications. The company also develops Unreal Engine to accelerate developers' productivity for creating games and applications, training simulations, 3D visualizations, digital films, and animated entertainment. Its services include concept, pre-production art, and design; hi-res sculpting; texture creation; skinning, rigging, and animation; UE3 and UE4 asset integration and material setup; user interface production and scaleform implementation; post-production and promotional art; rendering and graphics programming; gameplay programming; engine specific programming; AI/physics; tools; and hardware and platform programming. Epic Games UK was formerly known as Pitbull Studio Limited and changed its name to Epic Games UK in August 2014. The company was founded in 2009 and is based in Houghton-le-Spring, United Kingdom. As of August 5, 2014, Epic Games UK operates as a subsidiary of Epic Games, Inc.",Epic Games is an American video game and software company that creates games and offers its game engine technology to other developers.
Fisher Unitech,fisherunitech.com,"Fisher Unitech assists industrial design, engineering, and manufacturing companies with product development through computer-aided design products and services.","Fisher Unitech, Inc. supplies 3D design software tools and 3D printers to manufacturing companies in the United States. The company offers software solutions, including 3D CAD, CAM, electrical, design automation, design validation, product data management, technical communication, 3D experience, and education software solutions; and hardware solutions, such as 3D printers, 3D scanners, and supplies. It also provides software, 3D printing, and SOLIDWORKS system requirement support services; 3D printing services; and professional training services for design automation and data management. The company provides solutions in the areas of industrial design, computer-aided design, validation/simulation, design automation, inspection automation, product documentation, manufacturing, physical prototyping, and data/enterprise management. It sells hardware and software solutions online, as well as through sales representatives. Fisher Unitech, Inc. was founded in 1989 and is based in Pleasant Ridge, Michigan. It has locations in the Midwest, Mid-Atlantic, and New England. As of October 11, 2019, Fisher Unitech, Inc. operates as a subsidiary of Computer Aided Technology, Inc.",Fisher Unitech provides software and hardware solutions for its customers to sustain and manage their product development processes.
Hagerman & Company,hagerman.com,"Hagerman & Company develops computer-aided design (CAD) software used by manufacturers, architects, engineers, and construction companies.","Hagerman & Company, Inc. operates as a value added reselling/system integrating and consulting company. The company specializes in CAD/CAM, consulting services, and customer relationship management (CRM). It offers software solutions, such as building, CAM, civil engineering, industrial design, manufacturing, and process and plant solutions. The company also provides CRM consulting services, including strategic planning, requirements and system design, customization and development, implementation, and data integration services. In addition, it offers data management solutions, which include CAD integration; management of various file types; automated engineering change order processing; batch printing and plotting; multi-site replication; automated publishing of documents; transmittal creation, management, and tracking; bill of materials and ERP integration; and collaboration with remote sites/employees, suppliers, contractors, and clients. Further, the company provides design automation solutions, such as pre-sale consulting and value assessment, requirements definition, project planning and management, system integration, and programming and development services; and hardware solutions. Furthermore, it offers government solutions, including real property and asset management, design and construction, training and simulation, manufacturing design and maintenance, situational awareness and response, state and local, public works and utilities, emergency planning and response, facility lifecycle management, and transit and transportation services. The company serves manufacturing companies, industrial design firms, AEC and civil design firms, and government clients in the United States. Hagerman & Company, Inc. was incorporated in 1985 and is headquartered in Mount Zion, Illinois.","An Autodesk Platinum Partner with 20 offices and training centers in the Midwest, South and California."
IMSI Design,imsidesign.com,"IMSI Design provides CAD (computer-aided design), home design desktop software and mobile solutions. The company offers TurboCAD, DesignCAD, TurboFloorPlan, and TurboApps. It is based in Novato, California.","IMSI/Design, LLC provides computer aided design (CAD) software. It offers products in various categories, including 2D drafting, 3D modeling, architectural, mechanical, creative graphics, Hi-Res rendering, 3D animation, Macintosh, training, plug-ins, symbols, CAD tools, and educational programs. The company also offers TurboSite Pro v4.1, TurboSite Plus v4.1, and TurboSite Standard v4.1 applications for field reporting. Its applications features include editable PDF form support, cloud storage syncing, synch status display, PDF reporting enhancements, predefined search filters, recent search queries, and a photo locator map. IMSI/Design, LLC was formerly known as International Microcomputer Software, Inc. and changed its name to IMSI/Design, LLC in January 2006. The company was founded in 1983 and is based in Novato, California. IMSI/Design, LLC is a former subsidiary of AccessMedia Networks, Inc.",IMSI Design is retail CAD and home design software.
InteliSum,intelisum.com,"InteliSum, Inc. has developed and patented 3-D InteliCamera technology that fuses LIDAR XYZ coordinates, digital image (RGB) data, and geophysical position (GPS) information to create Life Dimensional image (LD3) files. The company's intelligent pixel (InteliPixel) technology aims to allow easy capture of 3-dimensional objects and environments, plus fast, seamless transition (transfer) into computer aided design (CAD) software.nWhile the technology is currently being implemented in the Architecture, Engineering and Construction (AEC) market, it is positioned to become the new 3-D communication media for multiple markets.","InteliSum, Inc. designs and develops 3D visualization and design technologies, software, and hardware to the architecture, engineering, and construction community. The company offers 3D InteliCamera, a technology which fuses LIDAR XYZ coordinates, digital image data, and geophysical position information to create Life Dimensional image files; and InteliPixel technology that allows users to capture 3-dimensional objects and environments. It also provides LD3 Studio software for scanners and digital cameras. The company was founded in 2001 and is based in Salt Lake City, Utah.",Intelisum Inc is a company that uses technological advances to reduce costs of large residential structures.
Matterport,matterport.com,"Matterport is a media technology company that delivers an end-to-end system for creating, modifying, distributing, and navigating immersive 3D and virtual reality (VR) versions of real-world spaces on web and mobile devices. The Matterport Pro Camera and cloud services turn real-world places into immersive virtual experiences.","Matterport, Inc. develops and operates a cloud based platform for processing 2D and 3D data into interactive 3D environments for hosting/editing/organizing space. It offers Matterport, a 3D data platform to design, build, operate, promote, and understand spaces. The companys Matterport enables to capture HDR panoramic imagery and depth data using a compatible camera or iPhone; synthesize captured spatial data and visual imagery to render a 3D digital twin of physical spaces; customizes walk-throughs, photo galleries, and more; and share digital spaces. It offers solutions for real estate, photography, insurance, restoration, facilities management, travel and hospitality, architecture, and engineering and construction industries. Matterport, Inc. was founded in 2011 and is headquartered in Sunnyvale, California with additional offices in San Francisco, California; Chicago, Illinois; Lawrence, Kansas; and London, United Kingdom.",Matterport is a developer of a 3D media platform used to establish 3D and virtual reality models.
Mental Canvas,mentalcanvas.com,Mental Canvas is a software company that is developing a class of graphical-media-design system that lies between2D digital draw-and-paint systems and 3D computer-aided design systems.,"Mental Canvas develops a graphical-media-design software. It develops a software, which lies between today's 2D digital draw-and-paint systems and 3D computer-aided design systems. Mental Canvas is based in the United States.",Mental Canvas is developing a new graphical media that fills the gap between 2D drawings and 3D models.
Metamoto,metamoto.com,"Metamoto is a provider of scalable simulation for autonomous systems. It brings best practices for test and validation of autonomous system software to enterprises and is a provider of simulation-centric products and services.On October 8th, 2020, Metamoto was acquired by Foretellix. The terms of the transaction were not disclosed.","Metamoto, Inc. designs and develops test and validation simulation software solutions for autonomous systems. The software features continuous test and integration discipline, simulation, computer vision, machine learning, standards, and regulations. Metamoto, Inc. was founded in 2016 and is based in Redwood City, California.",Simulation as a Service for Autonomous Systems
Navvis,navvishealthcare.com,"Navvis is a population health market maker that works with health plans, health systems, and physician organizations to build, operate and manage new business models that accelerate and fundamentally change the way healthcare is delivered. It is based in Saint Louis, Missouri.","NavVis GmbH develops indoor spatial intelligence solutions for enterprises. It offers NavVis M6, an indoor mobile mapping system for large-scale scanning projects that captures 360 degrees immersive imagery and point clouds. The company also provides NavVis IndoorViewer that combines point clouds with highly detailed, immersive 360 degrees images to create a digital twin that enables building stakeholder explore and interact with scanned spaces. In addition, it offers a software development kit. The companys solutions are used in CAD/BIM modeling/indoor scanning, factory planning/repair and maintenance, handover documentation/tendering, retrofitting/milestone documentation, and indoor maps/information and search applications. It serves automotive, construction, real estate, and insurance companies. NavVis GmbH was founded in 2013 and is based in Munich, Germany with additional offices in New York and Shanghai.",NavVis is a global provider of indoor spatial intelligence solutions for enterprises.
Onshape,onshape.com,"Onshape is a modern CAD system that eliminates design gridlock: the constant waiting, distractions, and hassles that prevent engineers from doing their best work. Onshape unites advanced modeling tools and design data management in a secure cloud workspace that is accessible on any device and never loses data.","As of November 1, 2019, Onshape Inc. was acquired by PTC Inc. Onshape Inc. develops cloud based 3D designing and drawing software solution. It offers Onshape, a next-generation cloud design platform that provides data management, collaboration, workflow automation, assemblies, drawings, integrations, analytics, configurations, and security. Onshape Inc. was formerly known as Belmont Technology Inc. and changed its name to Onshape Inc. in January 2014. The company was founded in 2012 and is based in Cambridge, Massachusetts.","Onshape is a product development platform that unites CAD, data management, collaboration tools, and real-time analytics."
Optelos,Optelos.com,"Optelos offers patented data management, reality modeling (2D, 3D, Point Clouds) and artificial intelligence solution for enterprise businesses performing asset inspections.","Optelos is the leading AI visual inspection and data management platform for enterprises. Optelos is the leading enterprise platform for digitalization of asset inspection. Utilizing patented image transformation technology, Optelos leverages AI, advanced image modeling/visualization and enterprise system and workflow integration to enabling enterprises to fully operationalize asset visual inspection. Optelos allows Enterprises to lower inspection costs while increasing safety, speed, and accuracy of inspections spanning oil/gas, manufacturing, agriculture, energy, telecom and virtually any other market segment where asset inspection is required.",Optelos is the leading AI visual inspection and data management platform for enterprises
Parallel Domain,paralleldomain.com,"Parallel Domain’s data generation platform allows the user to configure and generate high fidelity data through simple API requests. Through the company's work with the automotive industry's perception, research, and simulation teams, it has developed a nuanced understanding of what makes for great synthetic data and simulation environments.","Parallel Domain Inc. designs and develops 3D environment generation software for autonomous vehicle simulation. Its Parallel Domain platform delivers rich, annotated synthetic data for all autonomous system training and testing use cases. The company was incorporated in 2017 and is based in Palo Alto, California.",Parallel Domain is a synthetic data platform designed to facilitate autonomous vehicle simulation.
PassiveLogic,passive-logic.com,"PassiveLogic is a fully autonomous platform for buildings that improves building energy efficiency and operational costs. PassiveLogic's artificial intelligence-driven control brings the power of big-data down to the building level, providing customers with their own virtual engineering team in one simple plug-and-play box.","PassiveLogic, Inc. develops artificial intelligence (AI) driven building automation products, such as hive, cell, and swarm. The company provides Hive system, a system that generates control sequences in real-time based on real-world building dynamics. It also provides artificial intelligence (AI) based application for controlling the Internet of things components of buildings. Its platform enables designers and architects to digitally map out the components for the system controls architecture and contractors and architects can run AI-driven simulations on the Internet of things (IoT) systems before starting construction. It serves architects, engineers, builders, construction, and energy markets. The company was founded in 2014 and is based in Salt Lake City, Utah.",PassiveLogic - the world's first fully autonomous buildings platform.
Playment,playment.io,"Playment provides data labeling infrastructure and solutions to help companies accelerate their machine learning journey hence reducing time to market.On July 6th, 2021, Playment was acquired by Telus International. Terms of the transaction were not disclosed.","Playment provides a labeling platform that helps ML teams to build training data with ML-assisted tools, sophisticated project management software, human workforce, and others. The company was founded in 2015 and is based in Bengaluru, India with an additional office in San Francisco, California. As of July 6, 2021, Playment operates as a subsidiary of TELUS International (Cda) Inc.",Playment is a fully managed data labeling platform generating training data for computer vision models at scale.
PLNAR,plnar.ai,"PLNAR generates fully measured 3D models of any room in real-time. PLNAR's virtual claim solution helps insurance carriers settle small property claims faster, by enabling adjustors to be more productive and by facilitating the migration of the carrier to a desk claims model.","PLNARs develops digital measurement systems for collecting and storing accurate measurement data. Smart Picture Technologies, Inc. develops digital measurement systems for collecting and storing accurate measurement data. Its systems enable users to create and share dimensions embedded in images between users, customers, and their contractors. The company solutions include visual scene information, dimension data, and user defined tags. It offers its solutions for applications, such as DIY and home improvement, medical and biometrics, package delivery and tracking, and field service and repairs. The company was incorporated in 2012 and is based in Austin, Texas.",PLNARs develops digital measurement systems for collecting and storing accurate measurement data.
Rescale,rescale.com,"Rescale is a cloud simulation platform that helps engineers and scientists build, compute, analyze, and scale simulations with high-performance computing (HPC) in the cloud.","Rescale, Inc. develops and operates software platforms and hardware infrastructure for companies to perform scientific and engineering simulations. It offers cloud simulation and high performance computing (HPC) platforms, such as ScaleX Pro that enables independent professionals and SMBs to perform their engineering and scientific simulations; and ScaleX Developer that enables external application developers and independent software vendors to build, test, and deploy software directly to Rescale's platforms, as well as perform native software integration with Rescale's backend. The company also provides ScaleX Enterprise that features a unified enterprise simulation platform and an administrative portal, along with direct integrations and management of on-premise HPC resources, schedulers, and software licenses. It serves aerospace, automotive, consumer products, EDA/electronics, oil and gas, and life sciences industries. Rescale, Inc. was formerly known as Vludo, Inc. The company was incorporated in 2011 and is based in San Francisco, California with additional offices in Salt Lake City, Utah; Tokyo, Japan; Seoul, Korea; Amsterdam, the Netherlands; and Beijing, China.","Rescale is a cloud simulation platform that enables research scientists and engineers to build, compute, analyze, and scale simulations."
Righthook,righthook.io,RightHook builds simulation software for the autonomous robotics industry.,"RightHook, Inc. develops self-driving vehicle simulation technologies. The company provides a platform to train and validate an array of AI-powered robotic applications in automotive, aerospace, and next-generation infrastructure. The company was incorporated in 2016 and is based in San Jose, California.",RightHook builds simulation software for the autonomous robotics industry.
Seemage,seemage.com,"Producer of 3-D data visualization software. The company provides computer-aided design (CAD) software which enable users to visualize, manipulate, and collaborate on product information.","As of September 24, 2007, Seemage S.A.S. was acquired by Dassault Systemes SA. Seemage S.A.S. provides product documentation processes for enterprises. The company's products include 3DVIA Composer, a system for product documentation; 3DVIA Player, which allows content creators to distribute 3DVIA Composer content to end-users; 3DVIA Safe, which allows users to control and manage access to the intellectual property in 3DVIA Composer-generated deliverables; 3DVIA Sync, which changes in metadata, geometry, BOMs or manufacturing information can be updated on the desktop in 3DVIA Composer deliverables; 3DVIA Sync Integration, which regenerates deliverables created by 3DVIA Composer when the underlying product data changes; 3DVIA Check, which offers static clash detection that allows users to service and assembly procedures; and 3DVIA Path Planning, which allows content creators to plan to access components within the assembly. It also offers desktop content-creation system. The company was founded in 2002 and is based in Valbonne, France.",Seemage provides product documentation processes for enterprises.
Skan,skan.ai,"Skan is a cognitive process mining software platform that leverages computer vision and machine intelligence for process mining and discovery. It digitizes known, dark, and invisible processes into a process abstraction. The ensuing digital twin allows for modeling, simulation, predictions, and conformance to power the digital enterprise.","SKAN AG designs and manufactures cleanroom equipment and isolators for the pharmaceutical industry worldwide. The company offers production isolators for filling lines, flexible production isolators, modular working isolators, and powder processing isolators; laboratory equipment, such as safety fume cupboard workstations, safety/pathology workbenches, microbiological safety workbenches, laboratory filter fume cupboard workstations, microbiological/cytostatics workbenches, horizontal-flow workbenches, powder handling cabinets, waste sealing units, modular filter modules, particle counters for gases/liquids, and solid fog/dosymist solutions; and restricted access barrier systems for aseptic filling in clean and safe environments. The company's product line includes transfer systems, such as electron beam tunnels; airlocks for safe and rapid transfer of precious content; and container/liquid/bag transfer ports. The company also provides accessories, such as wireless glove leak testers, biological H2O2 indicators, particle counters for gases, cleanroom accessories for safety workbenches, and personal protective equipment. In addition, the company offers services, including cycle development, scientific studies, qualification, maintenance, facility installation, repairs and spare parts, engineering, mock-up, room decontamination, cleanroom measuring, life cycle partnership, microbiological safety workbenches decontamination, and particle counter services. Further, SKAN AG provides customized seminars and certified training in isolator technology and microbiology for operators, as well as for maintenance, calibration, and qualification staff. The company serves industry and research laboratories, as well as pharmacies. SKAN AG was founded in 1968 and is based in Allschwil, Switzerland with additional offices in USA, Canada, Japan, and Germany. As of January 14, 2021, SKAN AG operates as a subsidiary of Pharma Integration S.R.L.","Skan.ai uses cognitive technologies to map, model, and manage business processes by creating digital twins of human or digital interactions."
Solidscape,solidscape.com,"Solidscape is a manufacturer of high-precision 3D modeling rapid prototyping systems worldwide. This technology advances the for computer-controlled fabrication of solid models. The R66, T612 Benchtop and T76 3D Printing Systems are true office peripherals-residing on their benchtop or desktop surface and requiring no facility modifications. Solidscape systems are marketed worldwide and designed for numerous manufacturing applications including jewelry, dental, jet engine turbine blades, medical instruments and prosthetics, consumer goods, automotive parts, electronics and many other high-precision products.","Solidscape, Inc. manufactures high-precision 3D printers, materials, and software for direct manufacturing of solid objects designed in CAD. Its solutions incorporate software and printing technology for small parts and assemblies used in manufacturing of personal consumer electronics. The company offers 3D printers that are used to produce ""wax-like"" patterns for lost-wax casting/investment casting and mold making applications; InduraBase, a ceramic substrate that is milled to allow a flat platform for models to be printed on; and BioAct VSO, a refined non-aqueous solution used to remove dissolvable support wax at a lower temperature. It also provides 3D Software, such as 3Z Works that automatically generates the model support structure, as well as the positioning and orientation on the build plate; and ModelWorks, which permits selection of desired resolution and allows setup variable slice thicknesses supported in the same model or pattern. The company serves aerospace, automotive, dental/laboratories, dental/orthodontics, educational institutions, electronics, jewelry/manufacturing, jewelry/custom retailers, medical/orthopedics, sporting goods, and toys markets. Solidscape, Inc. has a strategic agreement with the Kangshuo Group Co. Ltd. It was formerly known as Sanders Prototype, Inc. and changed its name to Solidscape, Inc. in October 2000. The company was incorporated in 1994 and is based in Merrimack, New Hampshire. As of July 17, 2018, Solidscape, Inc. operates as a subsidiary of Prodways Group S.A.","Solid Scape is an aviation and aerospace company based out of 606 S Hill St, Los Angeles, California, United States."
SolidWorks,solidworks.com,"SolidWorks is a solid modeling computer-aided design (CAD) and computer-aided engineering (CAE) computer program that runs primarily on Microsoft Windows. In 1997, SolidWorks was acquired for $310 million by Dassaulte Systems.","SolidWorks business of CAD Research was acquired by Hawk Ridge Systems on 05/03/2000. The division designs and develops Computer Aided Design (CAD) tools. It is based in Irvine, California.","Solidworks offers a portfolio of 3D software tools that enables users to create, stimulate, publish, and manage their data."
Tachyus,http://www.tachyus.com,"Tachyus creates technology for the oil and gas industry to optimize energy production. The company's platform unites predictive analytics software and sensors that measure real-time data to increase profits, promote safety, and enable regulatory compliance.","Tachyus Corporation develops a technology platform to optimize energy production for the oil and gas industry. The companys platform provides prescriptive and predictive analytics, descriptive analytics, integration, and measurement features. It offers solutions for production optimization in cyclic steaming, steam-flooding, CO2-flooding, water-flooding, pump optimization, workover prioritization, and shale fracking. The company, through its platform enables users to predict mechanical equipment failure, production responses to stimulation, relationships between completion design and initial production, and optimal injection rates. It serves through iOS applications. Tachyus Corp. was formerly known as Software Revolution Corp. and changed its name to Tachyus Corporation. in April 2013. The company was incorporated in 2013 and is based in Berkeley, California.",Tachyus develops a technology platform to optimize energy production for the oil and gas industry.
Unreal Engine,unrealengine.com,"Unreal Engine is a game engine developed by Epic Games. It is based in Cary, North Carolina.","Unreal Engine is a software development firm that produces tools for game creators. The Unreal Editor is a fully integrated suite of tools for building every aspect of your project. Advanced features include physically-based rendering, UI, level building, animation, visual effects, physics, networking, and asset management.",Unreal Engine is a software development firm that produces tools for game creators.
